Species,Island,Bill Length Mm,Bill Depth Mm,Flipper Length Mm,Body Mass G,Sex,Mass/Flipper,Bill Length Mm Outlier,Bill Depth Mm Outlier,Flipper Length Mm Outlier,Body Mass G Outlier,Mass/Flipper Outlier
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,21.461187214611872,False,False,False,False,False
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,24.782608695652176,False,False,False,False,False
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,21.72897196261682,False,False,False,False,False
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,25.32751091703057,False,False,False,False,False
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,21.363636363636363,False,False,False,False,False
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,24.887892376681613,False,False,False,False,False
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,21.99074074074074,False,False,False,False,False
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,22.624434389140273,False,False,False,False,False
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,23.076923076923077,False,False,False,False,False
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,23.963133640552996,False,False,False,False,False
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,21.75925925925926,False,False,False,False,False
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,25.217391304347824,False,False,False,False,False
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,22.00956937799043,False,False,False,False,False
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,27.272727272727273,False,False,False,False,False
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,22.093023255813954,False,False,False,False,False
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,26.681614349775785,False,False,False,False,False
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,21.816037735849058,False,False,False,False,False
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,24.660633484162897,False,False,False,False,False
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,22.287735849056602,False,False,False,False,False
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,23.883928571428573,False,False,False,False,False
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,22.40566037735849,False,False,False,False,False
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,24.56140350877193,False,False,False,False,False
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,21.10091743119266,False,False,False,False,False
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,24.31192660550459,False,False,False,False,False
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,22.995283018867923,False,False,False,False,False
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,24.130434782608695,False,False,False,False,False
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,22.706422018348626,False,False,False,False,False
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,23.68421052631579,False,False,False,False,False
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,22.40566037735849,False,False,False,False,False
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,25.223214285714285,False,False,False,False,False
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,22.66355140186916,False,False,False,False,False
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,23.008849557522122,False,False,False,False,False
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,22.800925925925927,False,False,False,False,False
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,21.95945945945946,False,False,False,False,False
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,22.783251231527093,False,False,False,False,False
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,23.333333333333332,False,False,False,False,False
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,22.14611872146119,False,False,False,False,False
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,24.56140350877193,False,False,False,False,False
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,23.13953488372093,False,False,False,False,False
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,24.12280701754386,False,False,False,False,False
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,21.875,False,False,False,False,False
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,25.58139534883721,False,False,False,False,False
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,22.38095238095238,False,False,False,False,False
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,25.114155251141554,False,False,False,False,False
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,21.995192307692307,False,False,False,False,False
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,26.31578947368421,False,False,False,False,False
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,23.14814814814815,False,False,False,False,False
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,25.982532751091703,False,False,False,False,False
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,21.830985915492956,False,False,False,False,False
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,23.91304347826087,False,False,False,False,False
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,20.161290322580644,False,False,False,False,False
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,25.434782608695652,False,False,False,False,False
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,22.465437788018434,False,False,False,False,False
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,27.027027027027028,False,False,False,False,False
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,23.014018691588785,False,False,False,False,False
Gentoo,Biscoe,,,,,,,False,False,False,False,False
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,22.558139534883722,False,False,False,False,False
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,25.9009009009009,False,False,False,False,False
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,24.528301886792452,False,False,False,False,False
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,25.35211267605634,False,False,False,False,False
